place_name,place_id,categories,number,rating,address,lat,lng,photos,tourist,museum,amusement_park,natural,tour,zoo,photo_reference,photo_url
Mel Fisher Maritime Museum,ChIJd_Q1Q8a20YgRAa8unhyI9QI,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",1027,4.5,"200 Greene St, Key West, FL 33040, United States",24.558062200000002,-81.8064833,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110717949868740043981"">Leasa McCall</a>'], 'photo_reference': 'CmRaAAAAXxEdwHFsXrbnICJa_ClvxTPEUQVLRk6_8ZQsMaXc5k2mX4OQ8GyIQXzT7iE1Gbzhhoy9Ih3NkMnf7JVgIxqv4kEysi8ui-veAOhCwS0n6dM9v9HdImuk69lIXxi7WJgJEhDzKcNTB8lexTfM-Dp3XUm9GhSqylEi696LtOvsiMJxsWVjaqgMBQ', 'width': 2048}]",1,1,1,0,0,0,CmRaAAAAXxEdwHFsXrbnICJa_ClvxTPEUQVLRk6_8ZQsMaXc5k2mX4OQ8GyIQXzT7iE1Gbzhhoy9Ih3NkMnf7JVgIxqv4kEysi8ui-veAOhCwS0n6dM9v9HdImuk69lIXxi7WJgJEhDzKcNTB8lexTfM-Dp3XUm9GhSqylEi696LtOvsiMJxsWVjaqgMBQ,https://lh3.googleusercontent.com/p/AF1QipNXeJu1itZW272hLz1v1TyFkcwpYZrCv2vYDeRs=s1600-w500-h500
Audubon House & Tropical Gardens,ChIJ-5Oh9eu20YgR1UzGuWCmQtw,"['museum', 'art_gallery', 'tourist_attraction', 'point_of_interest', 'establishment']",199,4.5,"205 Whitehead St, Key West, FL 33040, United States",24.5583263,-81.8060821,"[{'height': 439, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102725413021701575306"">A Google User</a>'], 'photo_reference': 'CmRaAAAABCTTetW4ncb2pLRjhIp3s41ElvTqH2kzmrFMDEmIjxaW-ppmHFEPe3wxMCtB8rKw-cpBA5NbvwMMgRu42ovUW1jexwGLXRLSrdc2jsHbhgi7hXRqpYRHNPybDLCFk3RdEhBk8xDsE43596gFXsHvp7cXGhQOHsTbaqZ0jvpJ0dXCVNWzVtIq1g', 'width': 1170}]",1,1,1,0,0,0,CmRaAAAABCTTetW4ncb2pLRjhIp3s41ElvTqH2kzmrFMDEmIjxaW-ppmHFEPe3wxMCtB8rKw-cpBA5NbvwMMgRu42ovUW1jexwGLXRLSrdc2jsHbhgi7hXRqpYRHNPybDLCFk3RdEhBk8xDsE43596gFXsHvp7cXGhQOHsTbaqZ0jvpJ0dXCVNWzVtIq1g,https://lh3.googleusercontent.com/p/AF1QipMWCmgtNADRLx8Rl3r7I6wJAZW8_Fgrb7ZYqSrh=s1600-w500-h439
Key West Art & Historical Society,ChIJJy9obOy20YgRh2CHXz56Iyk,"['art_gallery', 'tourist_attraction', 'museum', 'point_of_interest', 'establishment']",247,4.6,"281 Front St, Key West, FL 33040, United States",24.5583333,-81.8069444,"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112913907278614638460"">Ron Beaton</a>'], 'photo_reference': 'CmRaAAAAFbQjjZ4qWR3royYiAP4VHLb4y-RShv7MdGYukBJe1zZyA8I0jjVMeOy-pJS_toue9ORtLt6pUiWvyNfSnwJ2SUM4bQc8PZXfM8roXxt-2HOHjix8ejJI1sH54EucpRf_EhANzF_yelF9nf44rUX9WahMGhSiiTr4y-Ph43ShIOlP9T9IAkHc5w', 'width': 4048}]",1,1,1,0,0,0,CmRaAAAAFbQjjZ4qWR3royYiAP4VHLb4y-RShv7MdGYukBJe1zZyA8I0jjVMeOy-pJS_toue9ORtLt6pUiWvyNfSnwJ2SUM4bQc8PZXfM8roXxt-2HOHjix8ejJI1sH54EucpRf_EhANzF_yelF9nf44rUX9WahMGhSiiTr4y-Ph43ShIOlP9T9IAkHc5w,https://lh3.googleusercontent.com/p/AF1QipP0uqWRsuRlmRdKvK9Ic5ePTtvSn2TeADekRcAY=s1600-w500-h500
Mallory Square,ChIJKzaWYuy20YgReC-Q7BLOkmQ,"['tourist_attraction', 'restaurant', 'food', 'point_of_interest', 'establishment']",13793,4.6,"400 Wall St, Key West, FL 33040, United States",24.559901899999996,-81.8075829,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106777681307562368271"">Erika Montalvan</a>'], 'photo_reference': 'CmRaAAAARIQwRD0uUnz6HBP3iTOv-nOSHlyXTMuyy3M4y2WzVdh1aElw-GGAxrI4CP8qWgAOtH8Q-hFPOD2syOx6_Uq15xl62YuE-WxO4lT8ttr4_nx6-aFeEZV3jkz-JDsdCtkQEhAWm9s0QW5GK3oXhyISEyKYGhS7Itx6yHWruACpiWPTP633244CNA', 'width': 4032}]",1,0,1,0,0,0,CmRaAAAARIQwRD0uUnz6HBP3iTOv-nOSHlyXTMuyy3M4y2WzVdh1aElw-GGAxrI4CP8qWgAOtH8Q-hFPOD2syOx6_Uq15xl62YuE-WxO4lT8ttr4_nx6-aFeEZV3jkz-JDsdCtkQEhAWm9s0QW5GK3oXhyISEyKYGhS7Itx6yHWruACpiWPTP633244CNA,https://lh3.googleusercontent.com/p/AF1QipP15Vu_gLccLE5iOln_VVDs1hx9H3QlxECvkrDY=s1600-w500-h500
Key West Tropical Forest & Botanical Garden,ChIJkWSI_2Sx0YgRurhn6lnAqLc,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",98,3.9,"5210 College Rd, Key West, FL 33040, United States",24.573176,-81.748672,"[{'height': 576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101305375865818680014"">Key West Tropical Forest &amp; Botanical Garden</a>'], 'photo_reference': 'CmRaAAAAJkThYjZhTaonHJUP5GE-iQcH1iNTR3RFlkkofj5Mw3qFLmtKhmEYKJiBn67BayFqiUQorFpgL2YOUA0k0yqAoPcemqWdBxDqo75Q-3Ax7mPSTK1V31DPFqMSwYdNWvhZEhDyGjPeniepedLG9ffXv1-pGhRx5po7gtpVE0tDxKdakVfzL1ZYCA', 'width': 1024}]",1,0,1,1,0,0,CmRaAAAAJkThYjZhTaonHJUP5GE-iQcH1iNTR3RFlkkofj5Mw3qFLmtKhmEYKJiBn67BayFqiUQorFpgL2YOUA0k0yqAoPcemqWdBxDqo75Q-3Ax7mPSTK1V31DPFqMSwYdNWvhZEhDyGjPeniepedLG9ffXv1-pGhRx5po7gtpVE0tDxKdakVfzL1ZYCA,https://lh3.googleusercontent.com/p/AF1QipOuF7CneGDu3QoVwRjjYwfsh2RY1l2lkFjerKGm=s1600-w500-h500
Skydive Key West,ChIJmZe8Ptb_0IgRHMNLZziJabs,"['point_of_interest', 'establishment']",303,5.0,"5 Bat Tower Rd, Summerland Key, FL 33042, United States",24.6483609,-81.57364799999999,"[{'height': 532, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108295900175459222101"">Skydive Key West</a>'], 'photo_reference': 'CmRaAAAA1KMu8B0mgnJtLtkURgRNXga2qlu542lsYsa23vfoM-qyfNs_QAadqcOOMeWkAE2dxefkm9hlD3v_ULIZAHoGpajPAHu8slhnTaomGus1tlUP2j93yWuGPGp0qjxP1TFfEhCcX-Yf7ARJa8xKPb8vfKyrGhTRCbFcuaNgDVQW8cBISChljMDBQQ', 'width': 946}]",0,0,0,0,0,0,CmRaAAAA1KMu8B0mgnJtLtkURgRNXga2qlu542lsYsa23vfoM-qyfNs_QAadqcOOMeWkAE2dxefkm9hlD3v_ULIZAHoGpajPAHu8slhnTaomGus1tlUP2j93yWuGPGp0qjxP1TFfEhCcX-Yf7ARJa8xKPb8vfKyrGhTRCbFcuaNgDVQW8cBISChljMDBQQ,https://lh3.googleusercontent.com/p/AF1QipP7HhoW6sMJQzIQt7NkP4hIOjBdESB2QbVGT_M7=s1600-w500-h500
Sugarloaf Bat Tower,ChIJT2bVYjur0YgRToup5-6PKGY,"['tourist_attraction', 'point_of_interest', 'establishment']",16,4.3,"Sugarloaf, 4 Bat Tower Rd, Upper Sugarloaf Key, FL 33042, United States",24.649983399999996,-81.57266120000001,"[{'height': 4016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116783455545447194001"">Justin Johnston</a>'], 'photo_reference': 'CmRaAAAAKXvJbXSmgaJ7b4YyR-6h6PIpi30y85songibfCxwKaU1J_wLZyH6uG8vLkU0TCHG11roibZSX3QgkrQ5-JHx-vt186-y_ISZ1oTtOiyrz_b5OObXyDehA9xqVsW7EyS_EhBd0J0Tnaae0tWrCopL5ttmGhQmeM2AaEVPXIBbi7WP_028Zpx-uQ', 'width': 6016}]",1,0,1,0,0,0,CmRaAAAAKXvJbXSmgaJ7b4YyR-6h6PIpi30y85songibfCxwKaU1J_wLZyH6uG8vLkU0TCHG11roibZSX3QgkrQ5-JHx-vt186-y_ISZ1oTtOiyrz_b5OObXyDehA9xqVsW7EyS_EhBd0J0Tnaae0tWrCopL5ttmGhQmeM2AaEVPXIBbi7WP_028Zpx-uQ,https://lh3.googleusercontent.com/p/AF1QipNGLcubZ_grSocbtR3mAmOy_hqekZeFh8L_yGN5=s1600-w500-h500
National Key Deer Refuge Nature Center,ChIJCxZIVmb80IgRQFl4k1eXOsU,"['tourist_attraction', 'travel_agency', 'park', 'point_of_interest', 'establishment']",300,4.5,"30587 Overseas Hwy, Big Pine Key, FL 33043, United States",24.6697882,-81.3545102,"[{'height': 3265, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109641814306542621289"">Ryan Brockman</a>'], 'photo_reference': 'CmRaAAAA3uCiQPTm-bBFSQo_a4zS6tbRbSYtBdpeHGSq1zRcR5dfmmaGLbYv5sirryMiBzOU3SiunyyfWcnvsAWeeulzWD5DziuNm4L4IimU-WnfaUc7ndxSaFuDSdLQOoibjypBEhAFPXJwqdxijGHqswSypSUzGhTvlDnpqU-jMmlJXQs4U4Yyuw1OGQ', 'width': 4898}]",1,0,1,1,1,0,CmRaAAAA3uCiQPTm-bBFSQo_a4zS6tbRbSYtBdpeHGSq1zRcR5dfmmaGLbYv5sirryMiBzOU3SiunyyfWcnvsAWeeulzWD5DziuNm4L4IimU-WnfaUc7ndxSaFuDSdLQOoibjypBEhAFPXJwqdxijGHqswSypSUzGhTvlDnpqU-jMmlJXQs4U4Yyuw1OGQ,https://lh3.googleusercontent.com/p/AF1QipPqPL4O2JJG7XTHTFsXQ-V_LUIuJz8qVUTdg25j=s1600-w500-h500
Crane Point,ChIJv7LuybLe0IgRtF1HaL_uPhs,"['museum', 'park', 'point_of_interest', 'establishment']",298,4.6,"5550 Overseas Hwy, Marathon, FL 33050, United States",24.716886600000002,-81.0751537,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117484782192655147924"">P B</a>'], 'photo_reference': 'CmRaAAAAiHfolmHM7YRXKLoHjQq7jr2Zt1TZOssRWnJxiT_KrqoWos8UdLyb52oz3BemBLaedmdMwBRcoAHmPStuEP736UoazQg7-DI-f2YaP2JdsmUVvlgKFGg6o97Nk4hxIpK9EhC57NK9ymo-FykL9QtMrWTMGhQxqT6jRy1YPZg_kbSLRpx8d4pzUg', 'width': 4032}]",0,1,0,1,0,0,CmRaAAAAiHfolmHM7YRXKLoHjQq7jr2Zt1TZOssRWnJxiT_KrqoWos8UdLyb52oz3BemBLaedmdMwBRcoAHmPStuEP736UoazQg7-DI-f2YaP2JdsmUVvlgKFGg6o97Nk4hxIpK9EhC57NK9ymo-FykL9QtMrWTMGhQxqT6jRy1YPZg_kbSLRpx8d4pzUg,https://lh3.googleusercontent.com/p/AF1QipN3AxWqbb3PvP7lvRqlEHl--7TpohDqdKkODJAU=s1600-w500-h500
Dolphin Research Center,ChIJN_3uj_7Q0IgRcCNY1zU074A,"['aquarium', 'tourist_attraction', 'point_of_interest', 'establishment']",385,4.5,"58901 Overseas Hwy, Grassy Key, FL 33050, United States",24.766967,-80.945509,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104534175226837562713"">Dolphin Research Center</a>'], 'photo_reference': 'CmRaAAAAMJNTWMv0qM5LYrXRqyDbqIUhd-97YDlc_Lmj7RO13Irb7vRfxSTBAwNxfRz9bjYtyBvwARUm2NY1UP4lxZiK5PUa7vZsE-EsDtO-Vra-6zSFgLX9Vqmv5NZEwQlYmwXkEhCpShyPgrwG0l-_krszvd6EGhTHV8gBb01TyUdvInXlEqUByyBZiQ', 'width': 1807}]",1,0,1,0,0,1,CmRaAAAAMJNTWMv0qM5LYrXRqyDbqIUhd-97YDlc_Lmj7RO13Irb7vRfxSTBAwNxfRz9bjYtyBvwARUm2NY1UP4lxZiK5PUa7vZsE-EsDtO-Vra-6zSFgLX9Vqmv5NZEwQlYmwXkEhCpShyPgrwG0l-_krszvd6EGhTHV8gBb01TyUdvInXlEqUByyBZiQ,https://lh3.googleusercontent.com/p/AF1QipOElf_MLqdtyd29cUNruC5MuFOWIExo-_8tXXWS=s1600-w500-h500
Robbie's,ChIJ960sQ9k514gRzJnHxYzRgW8,"['bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",5393,4.4,"77522 Overseas Hwy, Islamorada, FL 33036, United States",24.8826186,-80.6907968,"[{'height': 681, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101976821142965093330"">Robbie&#39;s</a>'], 'photo_reference': 'CmRaAAAAToUfNl35k3OmX1tDSIdqwaiNUj62VINM5uByK83gHjOymkRMZbv5baDFVFiq_h0lKDY7d2jF5K3Wjvy6LrBVArqPWePvtd0NPb-0_0a1yE8mojgKpCcA5cDX8Xpl-u3XEhBvl8tFAr4ox6VocHRFIQhpGhS9xKeoI5-rY-1wdnflTyWGg3Jjuw', 'width': 1024}]",0,0,0,0,0,0,CmRaAAAAToUfNl35k3OmX1tDSIdqwaiNUj62VINM5uByK83gHjOymkRMZbv5baDFVFiq_h0lKDY7d2jF5K3Wjvy6LrBVArqPWePvtd0NPb-0_0a1yE8mojgKpCcA5cDX8Xpl-u3XEhBvl8tFAr4ox6VocHRFIQhpGhS9xKeoI5-rY-1wdnflTyWGg3Jjuw,https://lh3.googleusercontent.com/p/AF1QipO6UBWgggtaiUtJgOBY5WrTTTrakoY-XyphuExf=s1600-w500-h500
