,place_name,place_id,categories,number,rating,address,lat,lng,photos
593,Mallory Square,ChIJKzaWYuy20YgReC-Q7BLOkmQ,"['tourist_attraction', 'restaurant', 'food', 'point_of_interest', 'establishment']",13793.0,4.6,"400 Wall St, Key West, FL 33040, United States",24.559901899999996,-81.8075829,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106777681307562368271"">Erika Montalvan</a>'], 'photo_reference': 'CmRaAAAARIQwRD0uUnz6HBP3iTOv-nOSHlyXTMuyy3M4y2WzVdh1aElw-GGAxrI4CP8qWgAOtH8Q-hFPOD2syOx6_Uq15xl62YuE-WxO4lT8ttr4_nx6-aFeEZV3jkz-JDsdCtkQEhAWm9s0QW5GK3oXhyISEyKYGhS7Itx6yHWruACpiWPTP633244CNA', 'width': 4032}]"
710,ZooTampa at Lowry Park,ChIJBQ5SjLHGwogRL4X19g4J5tI,"['zoo', 'tourist_attraction', 'point_of_interest', 'establishment']",13220.0,4.6,"1101 W Sligh Ave, Tampa, FL 33604, United States",28.012967100000004,-82.46936989999998,"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112315123647779586950"">Sushil Kumar</a>'], 'photo_reference': 'CmRaAAAAdSQ4ZLWUCa_aJCQnaGKmSVg6gZknITG072fl1K5Tn3Yc3Ml7vb0PnqcJgGaHOnNU40bYFdnDZWJrEYOSyeARcDiYXEaS5mvTih0v9mtlDkKk3d9_xoODT03t7srneeeoEhCyVNNRFhJK0ZdUd53PdfBuGhQ_bsip2pjX1QWMKm2SOiM8_sB7WQ', 'width': 1728}]"
581,The Wheel at ICON Park™,ChIJU7bqHVV-54gRJAwZAp5qCpk,"['tourist_attraction', 'point_of_interest', 'establishment']",12121.0,4.6,"8375 International Dr, Orlando, FL 32819, United States",28.443215000000002,-81.46839299999998,"[{'height': 2550, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100621160585389105686"">The Orlando Eye</a>'], 'photo_reference': 'CmRaAAAAcNW8k4dLml62zrKPOitisyBJhSVsb0Z0mVQIepOnH3Txc9wUqfulEE7PqT4VeW7V4h7pGCFz7zs9TKdMTDdo3Gzm6-hqyyqMWcKQkw-nz9wWmcsjrSR2pqtAGf-rwWb0EhDeiYDT3FrzITFmj6fcm8XnGhSo89aZXvENVi0-l-PMjwP44K5sTw', 'width': 3936}]"
715,Jacksonville Zoo and Gardens,ChIJ5UOOwKux5YgRAmO1YNbhTc0,"['zoo', 'tourist_attraction', 'park', 'point_of_interest', 'establishment']",11134.0,4.6,"370 Zoo Pkwy, Jacksonville, FL 32218, United States",30.405236100000003,-81.64225150000001,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112087059463424816219"">Benjamin Mois</a>'], 'photo_reference': 'CmRaAAAAo5slNkwtqcocbVPh9eal36Lw8BFJ-7M_FkRcqFtVOrBgIMx95VW82FfVARPsywqgdVfDd60R2o8VbwnsF_xKsJwy5Zj23ijAKYKwkghb-9YRM17Nk0NMoolFBlwRM-CuEhCbe3c1hlfrRj6FQSM_50omGhQZfzBzZ4CYQX9Ls0MH3TR6-3WsgA', 'width': 4032}]"
162,Clearwater Marine Aquarium,ChIJiZrtZSvxwogRE9eu4Xpy9Yc,"['aquarium', 'tourist_attraction', 'point_of_interest', 'establishment']",10792.0,4.3,"249 Windward Passage, Clearwater, FL 33767, United States",27.976854499999998,-82.81911290000001,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108427078399845708309"">Simon Derry</a>'], 'photo_reference': 'CmRaAAAAfvYRClUmI07O0Qu3Y17JDeh-sPptFQ4LQY-0WwVqHCY5_MwWq2Md2EE5AvlO_P8X_gNLiopuUBCQaSwDNrnusMFno7dwpVw7lfEXYrFXZbiNPwqLhdddTqsz5yFLDeXSEhDqtj9kc5l6irOmL8_UkKVGGhQGvyhbWOgFRfHUYZ73wIMmhSEfbw', 'width': 3024}]"
377,Florida State Fairgrounds,ChIJeQ-y5zXPwogRFU7AXbruMCg,"['point_of_interest', 'establishment']",10744.0,4.4,"4800 US-301, Tampa, FL 33610, United States",27.989841,-82.365494,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117644401291474465592"">Kara Krohn</a>'], 'photo_reference': 'CmRaAAAAfCiXokliRR-DXu5jGtEqSC8ZZGG9BIuWRz96bO9GSKAS1syO_Yd-ax5IupRBIWfHUxVjfMBtysoA3P0Ejmn3WiOHcVBWZDtj8tgDLjL-9hn0RAdsrSv10Ip6eRChGm5vEhBcCV8fS9SQpaC7zSIcYa--GhROM1QjW4H_S0XLg8f180DVBHgkBg', 'width': 3024}]"
428,Las Olas Beach,ChIJOY6sqC4A2YgRh300hmHIU-8,"['tourist_attraction', 'natural_feature', 'point_of_interest', 'establishment']",9567.0,4.7,"240 Las Olas Cir, Fort Lauderdale, FL 33316, United States",26.119199899999998,-80.10421099999998,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110603153206622321048"">Romana De Oliveira Rocha</a>'], 'photo_reference': 'CmRaAAAAOPFnJD4tzs0yfreahT1U1UeopF8USDg2V9URXKe63OolrIH5WeOIXSk9nfgxMRbLPso7OCIHn2wfa90vkJGrbYpwB789SarhxpZ7ktk2KRypZGkLGtBioaMud7zvyouwEhDUmqBZoRoyHxCWMRRWnxJzGhQ1nWVrqDAjocRJQ7LU76GLTflckw', 'width': 4032}]"
684,Disney's Typhoon Lagoon Water Park,ChIJ-cylLpl_3YgRLc_XNEh9I2I,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",9516.0,4.7,"1145 East Buena Vista, Boulevard, Orlando, FL 32830, United States",28.365798100000003,-81.52955970000001,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105938175984906197762"">Maria Luz Acosta</a>'], 'photo_reference': 'CmRaAAAArWp-mMWZhtZvzc9oCflnHjrRoc_9PyEjAnixS7vTUFHHAslCNP4B75iNv28e4ibDLmaCQ1GwUeSKE2GII6WpzAD3VB-khEv104P3BHWx4_L0ffMmm5s6ivBwWi40y4FVEhAjQluHF5V7XsWpHDpubT8uGhSHF3Nu3u-asIpFHyU7GFov3mLAig', 'width': 4608}]"
266,The Dalí (Salvador Dalí Museum),ChIJyaCQzpHhwogRBdPcZI6UOyc,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",9409.0,4.7,"1 Dali Blvd, St. Petersburg, FL 33701, United States",27.7659086,-82.63157890000001,"[{'height': 1447, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111989089085760241294"">Drew Wolfe</a>'], 'photo_reference': 'CmRaAAAAI5BxKTWb7rvqWsBbCODTj2xLGQE5SFBg79JwMl532rs8Q_ya-roe8SumRPdj8yiUbz26gwSTqy7-g4HrKhrJkX92BUbm58sRhxmdkjcd7fcInz97Vd_UHRwmcMY2mkBpEhC3h0s34AzKMQT0T8n1W6vbGhQEF2TTq17w0juTPGQJ1HuSNMtfSA', 'width': 2000}]"
401,Haulover Park,ChIJndCi02ut2YgRgQiu2Kn9irk,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",8826.0,4.6,"10800 Collins Ave, Miami Beach, FL 33154, United States",25.9065987,-80.1244416,"[{'height': 2788, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117646270300608675928"">Guy Tal</a>'], 'photo_reference': 'CmRaAAAAayzJzWrYEIUwzFgasMxjGNb4KsvwmZf6AcSC5-mTCvheyQDs5k9kiwxyHPhM9-o18wTEGebw6tTNPSxnhNafqY--7X8e0KYCi_h56ceHPkAVN4v86VV2Mc1bOa_8N0BNEhBPUzxr4PhhUEnjyJNhUpPnGhQ1jHHmu1h3_5CSCq328R352HmINw', 'width': 3718}]"
351,Daytona Flea & Farmers Market,ChIJC-QG4yff5ogRCCUHUfMr2wE,"['tourist_attraction', 'shopping_mall', 'point_of_interest', 'establishment']",8691.0,4.4,"1425 Tomoka Farms Rd, Daytona Beach, FL 32124, United States",29.164455699999998,-81.0841446,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107256367872061649265"">Bart Thibodeaux</a>'], 'photo_reference': 'CmRaAAAAmqm-Sth1271GgjwvjOEAZQdQsU3Opx_bTC3aVqVF8P9ik9anqumqIs8SFZS5SjwpT8MChYngjOTRDiztHvaZX3pck-2Zr1LJtJICArtNpCY4ZnKLcN5wXvzxTjs63ARVEhARnRkxdQJNVZqc-tfukC5bGhR45xO_NjUqgp-d6CY93F7P9NogXg', 'width': 5312}]"
282,The Ernest Hemingway Home and Museum,ChIJbbo4A-i20YgR6klffX8jpBM,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",8238.0,4.6,"907 Whitehead St, Key West, FL 33040, United States",24.551204300000002,-81.80061579999999,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106705958939489492663"">Aka Ehui</a>'], 'photo_reference': 'CmRaAAAAuz-Z_cV35pkJBnkpyYNRLYeAOaz5MrX7nU_2RvcFCG_k3UzzLcgT8_ZC3ZKImC9oWSQWVSZ9mQR3ruTMcNeb6F86Ed3GiWaYnie_ODLKmnEJRvCfReQ99rFVbedJjFzIEhCeNwXtrV2-4nVApk1gwBTyGhRNlir0rP5MuL-dhiDkXixb3zQwiw', 'width': 4032}]"
430,Lion Country Safari,ChIJJYiDRgcx2YgRWQ9Vze8pUXk,"['tourist_attraction', 'amusement_park', 'park', 'point_of_interest', 'establishment']",7507.0,4.6,"2003 Lion Country Safari Rd, Loxahatchee, FL 33470, United States",26.7127391,-80.3222017,"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107700859998980420112"">Isabel Cedeño</a>'], 'photo_reference': 'CmRaAAAAtEkjU3cKot3oo71wgOriqSO6EZwuvlmERGGgRvh7lu98e2JkBm_O4LL4ozw41CbVrQhrT2vGjEn45151cHLXJeBZiw4Owa-omAasi0ehYUe4IdG_bH_oJsS9qjMcoyU_EhBzK2Wy4BjpgarHCX6RTnWtGhR6dqyqF2AvlJLOdRs2Tpq1-3PGfw', 'width': 3264}]"
315,Armature Works,ChIJYWj9iZ_PwogRQebjN7pJ_Nw,"['restaurant', 'food', 'point_of_interest', 'establishment']",7374.0,4.6,"1910 N Ola Ave, Tampa, FL 33602, United States",27.9610303,-82.4640943,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111091684677237918454"">Tampa Armature Works</a>'], 'photo_reference': 'CmRaAAAAIKmMJ91x6fWyR8LFe5siZu4FnS-xvtjbzNleRcdvmddNx0ZVBWTlSk0VIkEGSggkmYCGhj8Lh7hOfoJrwg0Vlg0Z_g5PzOlTvEk6RtO13MR5vlPBPN2wjwT6XyHiJgkIEhCKJrfrcKl92alhZ_lPetzXGhQJp3CbGmbtOU5YkA4SVtaCEFixBw', 'width': 5760}]"
296,Vizcaya Museum & Gardens,ChIJE5jqT1222YgR4STdDoStYPg,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",7229.0,4.7,"3251 S Miami Ave, Miami, FL 33129, United States",25.744386600000002,-80.21047469999998,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106858198022395151497"">Andres Vega</a>'], 'photo_reference': 'CmRaAAAAFTdux3IS6pRFiqwTT56BCSL78TNCv91DXdQmjSkY9XhJU3JtcL7i3XicLEaDXFQ-wLQsH2k67SIHsSQ96JmkTTzxD59hTWtR455TBk1DkdV3ERUJV7Mp8cO1aQAzNgqZEhAF4awFJKtP5p3ZkxEWEn5RGhRrLyCLgEJNYvogt3B1ybnA4A4jNA', 'width': 4032}]"
568,Everglades Holiday Park Airboat Tours and Rides,ChIJ1TVM9DGg2YgRZ8aO0EX15tk,"['zoo', 'tourist_attraction', 'travel_agency', 'point_of_interest', 'establishment']",6665.0,4.4,"21940 Griffin Rd, Fort Lauderdale, FL 33332, United States",26.0604748,-80.44470340000001,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108558924113141840733"">Christian Tamayo</a>'], 'photo_reference': 'CmRaAAAAp88TDgllGALcNwXOEF7QI6uLIRySojlRt3HqXKfNN1OaMvsJRKORoZfJ0ZMkkDflS8DqBhTy6EXxFXzrBHrTH6AY-og9OId0PWfD8DdqHxK9Qm1F_M4E3lBaDQ-VhLNMEhB29D4lbmiRDsRQ7sOgODiZGhSXPai5jtgl1rKXH3zcpbUfslm5Bg', 'width': 3264}]"
421,Kennedy Space Center Visitor Complex,ChIJiTHKxDOu4IgRgAU6btoqIsU,"['tourist_attraction', 'museum', 'travel_agency', 'amusement_park', 'point_of_interest', 'establishment']",6627.0,4.7,"Space Commerce Way, Merritt Island, FL 32953, United States",28.5232962,-80.68183420000001,"[{'height': 299, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117105800361019340078"">A Google User</a>'], 'photo_reference': 'CmRaAAAA-mN1wjUm2nozCtrZ-pp6Ga2WeQO9y8VNXV2Oepqoei13eUoMrsPFATkmxtn5BfkHb-di9_bugIZA5x6W8SMde4LW_jQT8oH1ou8FpCIOfbHlVJNzDWr0j3nA4b7E1ORKEhAxxt7Ypuutfb6g4-pdFDoxGhQpqOZeRD_xTf71HzaThj29O-o91Q', 'width': 864}]"
518,The Simpsons Ride,ChIJsySKv95-54gR8Z_yRW7-51Q,"['tourist_attraction', 'point_of_interest', 'establishment']",6458.0,4.6,"6000 Universal Blvd, Orlando, FL 32819, United States",28.479510100000002,-81.4676162,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112332598081297489415"">Simone Quaini</a>'], 'photo_reference': 'CmRaAAAAq-L-L8bqT1BgPNOkP-469UPa3pP7PdvwgB4UpgltcNsBJWJjVSg2EBX0u1yz92hS4bRB7mPBxjCSHVSHZlj9N_l0g9yU-8_15EkTxX7f44EBjFENNZbsU_Cofy9r7cItEhBUVy3bMw5hTmw1ryi6OMbOGhRjy5MBKElj-dNemIWprr1jcmvdWg', 'width': 6240}]"
244,Naval Aviation Museum,ChIJLa8Z0Ce6kIgR4a6chFheJlQ,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",6388.0,4.9,"1878 S Blue Angel Pkwy, Pensacola, FL 32508, United States",30.350166499999997,-87.30368399999998,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113372501210493285217"">Yasaman Babalou</a>'], 'photo_reference': 'CmRaAAAAdlycb2ccqfpCjf9IQSYPl4lNiOUboLYD6R6hHlpg8UbChrPJhZKpE4MM5OKqHJfLYbOeEtJBgQOHXOnXMzobh1Xbxcaki4O3guE4dZ-NpNJLHSBw8iXnGZxkvZJLy-dHEhBk_qgjl8RXKLTI3vAJpsAgGhR6UAXFSRgM_38zf40WBxA0RBOw-Q', 'width': 6000}]"
630,St Augustine Lighthouse & Maritime Museum,ChIJS3j7AnEn5IgRj0GbuJwbvpg,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",6208.0,4.7,"81 Lighthouse Avenue (use 100 Red Cox Road for gps, St. Augustine, FL 32080, United States",29.885464000000002,-81.28836700000001,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111995323403454071806"">Abelardo Pendas</a>'], 'photo_reference': 'CmRaAAAA-JElVDB0mde2fpO8T9fioEZnnsB1Py5wL7bC2QNYrey5xeHvFHbCxDhWdzOFeJrleidyXQmHmxb1fpUWDemb5jwhNqzDTN4yrKqL3czdJ06Hw2sSrYpe_xe1sYxqxW_mEhBNYBmEJERAMDr0v04SFSdWGhSFnrBEnZV9EsEnA6TyqnWfojxeAw', 'width': 3456}]"
253,Orlando Science Center,ChIJo2bql5B654gR_ITN9PGhBbU,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",6180.0,4.7,"777 E Princeton St, Orlando, FL 32803, United States",28.5722626,-81.3682645,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115150573999438874474"">Reggie Jackson</a>'], 'photo_reference': 'CmRaAAAAyMgKe9rNoaVdHyZEX0dy_k9V4s7XQh-4grOBOwa0lgFqaz-et6K6_YTPY9FePzY4cQje_7CL9j_IkuogvDbAxDkT6oBbobAessyq0IVaaFoAsU5JaQrkKElY2oNQ-4ihEhAx5aQbBpg8o_lX79OZCmRsGhSL8kF4oFKqwF386ahsh4nEnaYPdg', 'width': 4032}]"
621,SEA LIFE Centre Orlando,ChIJmy7U4VJ-54gRi1LoS6wwFj0,"['tourist_attraction', 'aquarium', 'point_of_interest', 'establishment']",5729.0,4.5,"8449 International Dr, Orlando, FL 32819, United States",28.442584000000004,-81.46859169999998,"[{'height': 2577, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113413136381937484632"">SEA LIFE Orlando</a>'], 'photo_reference': 'CmRaAAAAqMR7nGSdXdbNww_dCSDGEGSE4WQjsQr3KwXhxN-Mi2LQACwaUtDhi0BFiuuXpXxYrgt8JFMaYkHqtRoXNTfW1vS4SJozXtl8Wk9tdvWS99unS90wU_cwjy2_JdnTznCuEhAClpk-ctmV8xaU6ugJfolCGhTtAA6hunvxNKVPjho6ZJg2o_Ye8g', 'width': 2578}]"
642,The Twilight Zone Tower of Terror™,ChIJERhhHP5-3YgRF4QSBLJ_XzU,"['amusement_park', 'point_of_interest', 'establishment']",5675.0,4.8,"351 S Studio Dr N, Orlando, FL 32830, United States",28.360061199999997,-81.5599278,"[{'height': 3480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110812968987467750907"">Matt Graham</a>'], 'photo_reference': 'CmRaAAAAIsCWD5QifgN81ozi9etdsFBoTvrF26fitVYnG4yq7tSkgfPlSoohztho02qnuGRuB3oyl0qgS_7DKF7Ij3butDSHgkvurkaXmk0AVotFHvo24HMRPalQT-_GlnCv382zEhDcVWEloNJhk7MRbjqBJ4auGhT66p5wnzso5E7BUgncKWDvuVsG9g', 'width': 4640}]"
259,Ponce de Leon Inlet Lighthouse & Museum,ChIJw2VLy7sp54gRE6a7GJmmDaY,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",5540.0,4.7,"4931 S Peninsula Dr, Ponce Inlet, FL 32127, United States",29.080560499999997,-80.928206,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107810667245833640251"">Frederick Schaefer</a>'], 'photo_reference': 'CmRaAAAAjcAY8LZCFOb4xQR46QDxTuc0dHSz5-7Q-6QqGPq8UMZUhPiF35IextZctCsBGCCu2on59GXToPRDXXhGnctlFohnP95tl-ps-P3Gy0WOOk4Z84q5YYpHSklTCythQEn6EhDhK-eKaLjwXaeD8gQtFnViGhSH1qUrjkvUxaA8-I9UXVs9RsiI8w', 'width': 3024}]"
